"","word","n"
"1","por que tiene pelos",14
"2","porque tiene pelos",9
"3","no se",7
"4","porque tiene pelo",6
"5","por que tiene muchos pelos",5
"6","tiene pelos",5
"7","nose",4
"8","por que tiene mucho pelo",4
"9","por que tienen mucho pelo",4
"10","por que tienen pelos",4
"11","porque es peludo",3
"12","por que si",3
"13","porque si",3
"14","porque son peludos",3
"15","porque tiene muchos pelos",3
"16","por que tiene pelo",3
"17","tiene mucho pelo",3
"18","es muy peludo",2
"19","por los pelos",2
"20","por que son peludos",2
"21","por que tienen muchos pelos",2
"22","tiene muchos pelos",2
"23","...",1
"24",".......",1
"25","aci le dicimos",1
"26","a eso me suena una pelota de pelos",1
"27","andan de un lado a otro y son peludos",1
"28","asi me suena",1
"29","asi se le pueden decir para que no se escuche mal",1
"30","asi son las metaforas",1
"31","aveces se le dice bola de pelos a los animales",1
"32","because that person is always hairy because of her clothes.",1
"33","como ya esta grande",1
"34","como ya lo habia mencionado no quiero ser pervertido pero el testiculo tiene pelos",1
"35","el gato tambien tiene pelos",1
"36","ellos estan cubiertos de pelos",1
"37","el perro por que tiene mucho pelo; un jardin por que esta lleno de pasto y es lo que lo cubre, por lo tanto, seria como su ""pelaje"".",1
"38","es buena onda",1
"39","es chido",1
"40","es duro",1
"41","es gordo y peludo",1
"42","es muy belludo",1
"43","es muy buena onda",1
"44","es muy suave",1
"45","es redonda",1
"46","es redondo con muchos pelos",1
"47","es redondo y podria parecer que tiene pelos pero no, tiene espinas",1
"48","esta chido",1
"49","esta muipeludo",1
"50","esta peludo",1
"51","es una expression",1
"52","es un animal peludo",1
"53","es una parte que del conejo que es circular y peluda",1
"54","es una pelota de oro",1
"55","es un pelota blanca de pelos",1
"56","es un perro peludo",1
"57","habla de pelos y los animales son los unicos",1
"58","invalida x sistema",1
"59","la cabeza esta llena de pelos y los nudos de la cabeza son echos por pelos pero son como pelotas.",1
"60","la mayoria de estambres estan redondos, como lo es la pelota. tambien por que suelta pelos, y en general se me vendria mas a la mente el estambre.",1
"61","la mayoria de los animales son peludos",1
"62","la mayoria tiene muchos pelos",1
"63","la palabra pelota es la cabeza y pelos es el cabello",1
"64","la pelota de tenis tiene pelos",1
"65","las mascotas tienen pelos",1
"66","los animales tienen pelos",1
"67","los gatos escupen bolas de pelos",1
"68","los gatos pueden jugar con bola de estambre",1
"69","los gatos tienen mucho pelo",1
"70","mas o menos entiendo eso",1
"71","no",1
"72","no c bro disculpa :v",1
"73","no es posible.",1
"74","no logro entender",1
"75","nolo se",1
"76","no se bro disculpa",1
"77","no see",1
"78","no se me ocurre otra cosa",1
"79","nose seme ocurrio",1
"80","npse",1
"81","poeeeeeeeeeeeeeeerahiyfnom",1
"82","por como esta hecha",1
"83","por el gato tiene mucho pelo y lo deja en muchas partes",1
"84","por es chiquito",1
"85","por la descripcion",1
"86","por los pelos que tiene parece que esta esponjado",1
"87","por mi reporte",1
"88","por q es bonito la amistad",1
"89","por q es desepera",1
"90","por q es peludo y grita",1
"91","por q esta lleno de pelos",1
"92","por q son peludos",1
"93","por q tiene mucho pelo",1
"94","porque",1
"95","por que",1
"96","porque a alguien quiza podria caersele el pelo",1
"97","porque ahi crecen pelos",1
"98","por que algunas personas le ponen un nombre ala mascota",1
"99","por que algunos animales estan peludos o pequenos como el hamster que es un animal pequeno y se ase volita",1
"100","porque algunos gatos son peludos",1
"101","porque algunos gatos tienen mucho pelo",1
"102","por que algunos son muy peludos",1
"103","por que al referirse a la familia, por lo que una pelota de pelos seria un animal",1
"104","porque ambos tiene muchos pelos",1
"105","porque ambos tienen pelo",1
"106","porque asi es la anatomia humana",1
"107","porque asi esta la cabeza de mi mama. muy grenuada",1
"108","por que a si suena simbolicamente",1
"109","por que aveces se te cae el cabello",1
"110","porque con pelota se refiere a una persona o cosa, y el adjetivo que sigue se usa para describir a la pelota, es decir la persona o cosa. en los otros versos menciona a una mama, un hermano, refiriendose a cosas a su alrededor o en su vida, entonces la pelota de pelos es algo con lo que convive constantemente, lo que puede ser una mascota, siendo probablemente el unico ser vivo con muchos pelos a su alrededor",1
"111","por que cuando dices esfuerzo es por que te interesas en algo que te guste y te esfuerzas asta conseguir eso lo que quieras sea para mal o para bien",1
"112","porque cuando se les cae el pelo se va acumulando y hace una bola de pelos que tambien podria ser una pelota de pelos",1
"113","porque cuando se te cae cabellos para recogerlos hacemos como una pelota",1
"114","por que cuando uno se peina se queda el cabello y se va haciendo una bola de pelos",1
"115","porque cuando vomitan producen una",1
"116","por que dice pelota de pelos",1
"117","por que dice que es una pelita de pelos y hay un animal que tiene muchos pelos.",1
"118","porque duermen asi",1
"119","por que el animal tiene pelaje",1
"120","por que el carro tiene muchos pelos",1
"121","porque el craneo esta redondeada por la parte en la que sale el pelo",1
"122","por que el dijo",1
"123","porque el es demasiado fuerte :v",1
"124","porque el estambre es un hilo que se despela mucho y eso causa que paresca que tiene pelos aparte se enredan los pelos en el estambre",1
"125","por que el hace fue",1
"126","por que el hilo puede pare ser una bola de pelos",1
