"","word","n"
"1","la luna",99
"2","luna",29
"3","el",16
"4","la moneda",16
"5","moneda",16
"6","papa",11
"7","mi papa",9
"8","el balon",7
"9","ella",6
"10","mi mama",6
"11","balon",5
"12","hermana",5
"13","abuela",4
"14","dinero",4
"15","la medalla",4
"16","la pelota",4
"17","no se",4
"18","aluminio",3
"19","el dinero",3
"20","el mundo",3
"21","el nino",3
"22","la bola",3
"23","la canica",3
"24","la hermana",3
"25","la vida",3
"26","mi abuela",3
"27","mi hermano",3
"28","mi pelota",3
"29","pelota",3
"30","amigo",2
"31","el anillo",2
"32","el frio",2
"33","el juego",2
"34","el sol",2
"35","la bala",2
"36","la esfera",2
"37","la nina",2
"38","mama",2
"39","mi cartera",2
"40","mi gata",2
"41","mi hermana",2
"42","nino",2
"43","no",2
"44","plato",2
"45","que",2
"46","tumbador",2
"47","una perla",2
"48","vida",2
"49","yo",2
"50","alegria",1
"51","amiga",1
"52","amor",1
"53","angel",1
"54","anillo",1
"55","arete",1
"56","armadura",1
"57","bola de boliche",1
"58","bolitas de himan",1
"59","brillante",1
"60","cabeza",1
"61","canica",1
"62","casi",1
"63","celular",1
"64","cerebro",1
"65","collar",1
"66","como",1
"67","corazon",1
"68","crg31",1
"69","de plata",1
"70","don",1
"71","dorado",1
"72","el abuelo",1
"73","el agua",1
"74","el aire",1
"75","el alma",1
"76","el aluminio",1
"77","el aro",1
"78","el banco",1
"79","el canario",1
"80","el circulo",1
"81","el es",1
"82","el es ua pelota de plata",1
"83","el gato",1
"84","el jardinero",1
"85","el ninja gris",1
"86","el pajaro",1
"87","el pelotas",1
"88","el planeta",1
"89","el poeta",1
"90","elsol",1
"91","el trofeo",1
"92","es algo platiado",1
"93","escultura de plata",1
"94","esfeda",1
"95","es muy fuerte",1
"96","eso",1
"97","esperanza",1
"98","esta",1
"99","familia",1
"100","friends",1
"101","gato",1
"102","hermano",1
"103","hierro",1
"104","iman",1
"105","invalida x sistema",1
"106","jarra",1
"107","joyas",1
"108","la abuela",1
"109","la bola de cristal",1
"110","la bolita de aluminio",1
"111","la bomba",1
"112","la casa",1
"113","la comida",1
"114","la copa",1
"115","la copa dela liga mx",1
"116","la cortina",1
"117","la cuchara",1
"118","la escuela",1
"119","la estrella fugaz",1
"120","la foca",1
"121","la mama",1
"122","la mente",1
"123","la mujer",1
"124","la noche",1
"125","la roca",1
"126","la silla",1
"127","la tierra",1
"128","laura",1
"129","lla luna",1
"130","marzo",1
"131","mayte",1
"132","mercurio",1
"133","metal",1
"134","mi abuelita",1
"135","mi abuelito",1
"136","mi amiga",1
"137","mi barco",1
"138","mi cama",1
"139","mi casa",1
"140","mi cerebro",1
"141","mi collar",1
"142","mientras recorren mis labios sombrios la pronunciacion de poesia,mi mente alma y cuerpo dicen que",1
"143","mi familia",1
"144","mi gato",1
"145","mi hermano es una pelota de plnta",1
"146","mi mama es una pelota que canta",1
"147","mi medalla",1
"148","mi otro amigo",1
"149","mi papa es una pelota",1
"150","mi perra",1
"151","mi perro",1
"152","mi premio",1
"153","mi regalo",1
"154","misael",1
"155","mi tia",1
"156","mi tio",1
"157","mi trofeo",1
"158","mi vida",1
"159","muy fuerte",1
"160","nana",1
"161","naranja",1
"162","ninja gris",1
"163","no dice mentiras",1
"164","pablito",1
"165","pablo",1
"166","padre",1
"167","panchito",1
"168","pap?Å",1
"169","pepita",1
"170","perla",1
"171","playta",1
"172","poiitghdft",1
"173","qwe",1
"174","rebota por que",1
"175","senor",1
"176","si",1
"177","sin embargo",1
"178","sin embargo es una pelota",1
"179","soledad",1
"180","tiene un significado importante",1
"181","trofeo",1
"182","tus hojos",1
"183","una bala",1
"184","una bola de crital",1
"185","una escultura",1
"186","una medalla",1
"187","una medallla",1
"188","un amigo",1
"189","una moneda",1
"190","una pelota de plata",1
"191","un balin",1
"192","un frisvi",1
"193","un goya",1
"194","un huevo",1
"195","un jugete",1
"196","un trofeo de futbol",1
"197","y de",1
"198","y la fortuna",1
"199","yo mero",1
