"","word","n"
"1","mi hermano grita mucho",34
"2","que su hermano es griton*",17
"3","que su hermano grita mucho",14
"4","que su hermano es griton",10
"5","mi hermano grita mucho*",9
"6","que grita mucho",8
"7","que su hermano grita mucho*",7
"8","que grita mucho*",6
"9","que su hermano grita mucho *",6
"10","porque grita mucho",2
"11","que su hermanito grita mucho",2
"12","que su hermano llora mucho *",2
"13","su hermano es griton*",2
"14","su hermano grita mucho*",2
"15","al decir pelota puede que sea que brinca mucho y grita",1
"16","a mi me gusta jugar futbol con la pelota porque suena",1
"17","chilla mucho cuando no tiene lo que quiere",1
"18","creo que quiere decir que mi hermano grita mucho pero la parte de la pelota no la entiendo",1
"19","el hermano siempre esta gritando como una pelota que siempre rebota",1
"20","el nino siempre esta gritando",1
"21","es como si su pelota hace mucho ruido por eso dice, es una pelota de gritos",1
"22","es decir, que grita el hermanitp y la pelota",1
"23","es porque siempre grita",1
"24","es que su hermanito es igual a una pelota que grita mucho",1
"25","es una pelota muy gritos",1
"26","es una presion",1
"27","fer rovin",1
"28","la pelota tiene gritos",1
"29","los ninos pequenos gritan mucho *",1
"30","mi hermanito es de berrinches",1
"31","mi hermanito es muy griton",1
"32","mi hermanito grita mucho",1
"33","mi hermanito tiene una pelota de gritos",1
"34","mi hermano brinca mucho y llora de a gritos",1
"35","mi hermano grita mucho *",1
"36","mi hermano grita mucho o simplemente llora mucho*",1
"37","mi hermano tiene una pelota de gritos",1
"38","no? ? ",1
"39","no entendi",1
"40","no se",1
"41","porque cuando quiere algo y no se lo das empieza a llorar y gritar",1
"42","porque es gordito y grita mucho*",1
"43","porque es muy griton, muy latoso.",1
"44","porque grita cada rato",1
"45","porque grita mucho, pero te agrega pelota",1
"46","porque grita mucho y la pelota al rebotar suena",1
"47","porque mi hermanito es gordo de muchos gritos",1
"48","porque mi hermanito es muy latoso",1
"49","porque no le gusta que rebote la pelota",1
"50","porque no para de gritar",1
"51","porque reganan mucho los hemanos",1
"52","puedes decir que su hermanito es algo gordito y grita mucho",1
"53","que a su hermano le gustan los gritos",1
"54","que como su hermanito grita mucho, tiene una pelota de gritos",1
"55","que cuando quiere algo grita o cuando juega grita mucho",1
"56","que el grita mucho",1
"57","que el hermanito grita todo el dia* ",1
"58","que el hermano es ruidoso",1
"59","que es gritona",1
"60","que esta gordito y grita mucho",1
"61","que es una pelota de gritos",1
"62","que es una persona que no para de gritar",1
"63","que grita",1
"64","que grita mucho todo el tiempo, es porque esta feliz",1
"65","que grita mucho y es muy travieso",1
"66","que grita mucho y llora",1
"67","que grita sin parar con una pelota",1
"68","que hace mucho berrinche o emocion",1
"69","que llora de todo porque es muy pequeno",1
"70","que los ninos chiquitos hacen mucho berrinche",1
"71","que mi hermanito tiene una pelota de gritos",1
"72","que mi hermano es griton*",1
"73","que mi hermano es muy escandaloso",1
"74","que mi hermano grita mucho",1
"75","que mi hermano menor grita todo el tiempo",1
"76","que no para de llorar ni quejarse y llorar y a cada rato esta gritando",1
"77","que siempre esta gritando",1
"78","que siempre grita",1
"79","que su hermana es una pelota de gritos",1
"80","que su hermanito cuando llora, grita",1
"81","que su hermanito es el que grita mas en su casa",1
"82","que su hermanito es muy griton",1
"83","que su hermanito grita demasiado",1
"84","que su hermanito tiene guardado muchos gritos",1
"85","que su hermano a cada rato grita",1
"86","que su hermano es gordito como una pelota y que su hermano grita mucho",1
"87","que su hermano es griton ",1
"88","que su hermano es muy griton*",1
"89","que su hermano esta gordito y grita mucho",1
"90","que su hermano es una pelota y grita para que lo ayuden",1
"91","que su hermano es una pelota y que grita",1
"92","que su hermano grita",1
"93","que su hermano grita o llora mucho*",1
"94","que su hermano siempre esta gritando y saltando",1
"95","que tiene muchos granos ***",1
"96","quiere decir que el hermano grita constantemente",1
"97","quiere decir que su hermanito grita mucho en casa",1
"98","quiere decir que su hermano grita mucho",1
"99","qu su hermano grita mucho*",1
"100","? qu tu hermano grita mucho*",1
"101","su hermano es un nino muy griton",1
"102","su hermano grita mucho",1
"103","su hermano grita mucho *",1
"104","un hermanito chiquito es un bebe que llora por comida, leche o que le cambien el panal.",1
"105",NA,1
