"","word","n"
"1","sol",150
"2","balon",25
"3","nino",17
"4","abuelo",11
"5","papa",11
"6","no contesto",10
"7","senor",10
"8","vecino",10
"9","fuego",8
"10","hombre",7
"11","volcan",7
"12","amor",5
"13","pelotas",5
"14","perro",5
"15","encendedor",4
"16","enojo",4
"17","meteorito",4
"18","pelota",4
"19","cerillo",3
"20","circulo",3
"21","no",3
"22","no respondio",3
"23","tio",3
"24","amanecer",2
"25","arma",2
"26","bombero",2
"27","calor",2
"28","carbon",2
"29","dragon",2
"30","fenomeno",2
"31","gas",2
"32","gato",2
"33","hermanito",2
"34","hermano",2
"35","horno",2
"36","no entiendo",2
"37","padre",2
"38","si",2
"39","aceite",1
"40","agua",1
"41","aire",1
"42","amigo",1
"43","asador",1
"44","asnigo",1
"45","balon ",1
"46","bascet",1
"47","bola",1
"48","bota",1
"49","brujo",1
"50","carro",1
"51","casi",1
"52","chile",1
"53","coche",1
"54","cocinero",1
"55","coco",1
"56","como",1
"57","corazon",1
"58","cualquiera",1
"59","cuando se enoja",1
"60","cuando se enojan",1
"61","de el",1
"62","diablo",1
"63","(dormido)",1
"64","(el ) o ella ",1
"65","el que madruga",1
"66","enemigo",1
"67","enojon",1
"68","es una pelota",1
"69","fireball",1
"70","foco",1
"71","fogata",1
"72","fudon",1
"73","globo",1
"74","jacinto",1
"75","jaguar",1
"76","jardin",1
"77","juan",1
"78","juega",1
"79","juego",1
"80","jugador",1
"81","juguete",1
"82","la pelota",1
"83","loco",1
"84","mango",1
"85","meteoro",1
"86","meteoro ",1
"87","meteoro ",1
"88","metiorito",1
"89","mr. senor",1
"90","muy chida",1
"91","naranja",1
"92","no entiendo nada",1
"93","no la conozco",1
"94","no se",1
"95","odio",1
"96","oido",1
"97","oso",1
"98","papel ",1
"99","pelo",1
"100","pelota de fuego",1
"101","plata",1
"102","porque",1
"103","primo",1
"104","que cosa ",1
"105","quemador",1
"106","rafles",1
"107","rebota",1
"108","rojo",1
"109","rueda",1
"110","sin respuesta",1
"111","sofa",1
"112","son tantas",1
"113","tiempo",1
"114","tiene",1
"115","tiene esa",1
"116","tiene unas",1
"117","una fruga",1
"118","vapor",1
"119","vecino de pelo rojo",1
"120","vestido",1
"121","viento",1
"122","yeimi",1
"123",NA,1
