"","word","n"
"1","no, porque las pelotas no cantan",27
"2","no, porque las pelotas no cantan*",10
"3","no, porque las pelotas no hablan",5
"4","no, no se",4
"5","no, porque no rima",4
"6","si, porque su mama canta",4
"7","no, porque las pelotas no hablan*",3
"8","no, porque las pelotas no tienen boca",3
"9","si, porque canta",2
"10","si, porque mi mama canta",2
"11","si, porque rima*",2
"12","(dormido)",1
"13","en la diversion en juego puede (hacer mas cosas??) en la pelota",1
"14","imaginense una pelota cantar, no es normal",1
"15","no, es algo ironico",1
"16","no, es sentido figurado mas no literal",1
"17","no le entiendo",1
"18","no, mi mama no canta o tal vez las demas igual no",1
"19","no, nadie entenderia",1
"20","no, ninguna pelota puede cantar",1
"21","no, porque como que no se escucha bien",1
"22","no, porque dice cosas extranas",1
"23","no, porque ellas no hablan",1
"24","no, porque en realidad es una metafora y las metaforas son mentira",1
"25","no, porque es algo muy raro",1
"26","no, porque esta en sentido figurado",1
"27","no, porque es una cosa material",1
"28","no, porque es una pelota normal",1
"29","no, porque la pelotas que cantan no existen",1
"30","no, porque la puedes botar, pero no va a cantar",1
"31","no, porque las cosas no hablan",1
"32","no, porque las pelotas en si no pueden hablar",1
"33","no, porque las pelotas no cantan, es como si una pelota cantara despacito",1
"34","no, porque las pelotas no cantan solo con la imaginacion",1
"35","no, porque las pelotas no hablan *",1
"36","no,porque las pelotas no hablan y si no hablan no cantan",1
"37","no, porque las pelotas no pueden cantar",1
"38","no, porque las pelotas no pueden cantar y porque no tienen cuerdas vocales",1
"39","no, porque las pelotas no se mueven ni hablan",1
"40","no, porque las pelotas no son seres vivos",1
"41","no, porque las pelotas no tienen cerebro, entonces serian como unos zombies porque no tienen cerebro",1
"42","no, porque las pelotas no tienen vida",1
"43","no, porque las pelotas rebotan",1
"44","no, porque las pelotas rebotan no cantan",1
"45","no, porque las pelotas solo se mueven",1
"46","no, porque las pelotas solo son para jugar, no para cantar",1
"47","no, porque me gusta mucho la frase",1
"48","no, porque mi mama no canta",1
"49","no, porque nadamas dices pelota",1
"50","no, porque ninguna pelota canta",1
"51","no, porque ninguna pelota puede cantar",1
"52","no, porque no canta",1
"53","no, porque no creo que vaya? a cantar",1
"54","no,porque no es tan comprensible",1
"55","no, porque no existen esas pelotas y menos su familia",1
"56","no, porque no existe una pelota que canta",1
"57","no,porque no hablan",1
"58","no, porque no hay pelotas que canten",1
"59","no, porque nomas son pelotas",1
"60","no, porque no no tiene vida y no tiene boca",1
"61","no, porque no puede haber pelotas que canten en la vida real",1
"62","no,porque no puede haber un objeto que cante, eso seria imposible y absurdo",1
"63","no, porque no puede ser mi mama una pelota que canta",1
"64","no, porque no puedo encontrar el ritmo del poema",1
"65","no, porque no rima la frase",1
"66","no, porque no rima tanto pelota que canta porque no termina igual",1
"67","no, porque no tiene boca para hablar",1
"68","no, porque no tienen boca",1
"69","no, porque no tiene ningun efecto",1
"70","no, porque no tienen suficientes palabras para explicar el poema",1
"71","no, porque no tiene sentido",1
"72","no, porque simplemente las pelotas no cantan",1
"73","no porque una pelota es una objeto inmovil",1
"74","no, porque una pelota no canta",1
"75","no, porque una pelota no puede cantar",1
"76","no, porque una pelota no puede hablar.",1
"77","no, porque una pelota no pueden ser todas las cosas",1
"78","no, porque una pelota no tiene boca",1
"79","no, porque una pelota no tiene boca por eso no canta",1
"80","no, porque una pelota se usa para jugar y porque es de plastico",1
"81","no, porque yo lo digo",1
"82","no, porque yo no he visto una pelota que canta",1
"83","no se canta !no tiene sentido!",1
"84","no, si no todas las pelotas estuvieran cantando",1
"85","no tiene sentido porque casi no rima",1
"86","pelota que tiene ojos y boca, nariz y habla",1
"87","porque es alegre",1
"88","si.",1
"89","si, a sentido figurado podria ser una radio",1
"90","si, cuando una persona canta",1
"91","si, el sol es redondo y con fuego",1
"92","si,es algo que nos gusta y se puede decir asi",1
"93","si, es algo significativo o algo",1
"94","si, es como me dijieron mi mama canta",1
"95","si, eso creo yo",1
"96","si, es una frase feliz y divertida y alegre",1
"97","si,es una metafora",1
"98","si, es un poema",1
"99","si, figurado porque esta hablando con pret",1
"100","si, pelota en movimiento",1
"101","si, pelota la que le platico",1
"102","si, porque a cada rato canta",1
"103","si, porque alguien se expresa con anhelo",1
"104","si, porque al momento que rebota suena",1
"105","si, porque canta canciones",1
"106","si, porque cuando dice la pelota que canta se refiere a sus cabezas",1
"107","si, porque dice que su mama canta",1
"108","si, porque dices una rima",1
"109","si, porque en un poema las frases no deben tener sentido, pero esto significa algo como que alguien canta porque no es literalmente lo que dice la frase.",1
"110","si, porque es alguien que le gusta cantar",1
"111","si, porque es cantada en todo",1
"112","si, porque es como rima",1
"113","si, porque es como si dijeras que alguien que canta",1
"114","si, porque es como si dijeras que una persona canta pero con pelotas",1
"115","si, porque es como tu mama cantara",1
"116","si, porque es redonda y circular",1
"117","si, porque es su forma de expresarse hacia las personas",1
"118","si, porque esta en sentido figurado",1
"119","si,porque esta hablando de su familia",1
"120","si, porque estan describiendo a las personas y a los seres vivos como las pelotas",1
"121","si, porque es una forma de describir a alguien",1
"122","si, porque es una persona que canta",1
"123","si, porque es un juguete para rebotar, rodar y aventar.",1
"124","si, porque habla de puras pelotas y cuando lo lei si tenia sentido",1
"125","si, porque habla mucho",1
"126","si, porque la mama puede cantar",1
"127","si, porque las mamas luego cantan",1
"128","si, porque la tecnologia hizo a sphero una pelota robot que habla y canta",1
"129","si, porque le gusta cantar",1
