"","word","n"
"1","no se",5
"2","gato",4
"3","gato porque es peludo*",3
"4","perro porque es peludo*",3
"5","perro porque tiene mucho pelo",3
"6","perro porque tiene pelos*",3
"7","coco tiene pelos",2
"8","gato, es peludo",2
"9","gato porque es peludo",2
"10","papa, tiene pelo en brazos y barba",2
"11","perro porque tiene mucho pelo*",2
"12","algo extrano.",1
"13","algo peludo, porque tiene mucho pelo",1
"14","alguien bueno",1
"15","alguien que es bueno",1
"16","animales, son peludos",1
"17","animal porque los animales tienen pelos",1
"18","arbol porque tiene muchas hojas y es redondo",1
"19","cabello en tu cabeza",1
"20","cabello tiene pelos",1
"21","cabeza",1
"22","cabeza de un perro",1
"23","cabeza, es redonda y con cabello",1
"24","cabeza, tiene mucho cabello",1
"25","conejo porque es peludo y lindo",1
"26","cuando se llenan de pelos",1
"27","cuando te cepillas mucho el cabello, se te quedan pelotas",1
"28","el abuelo porque tiene pelo",1
"29","el cabello",1
"30","el cabello porque como tenemos mucho cabello, parece una bola de pelos.",1
"31","el gato porque a los gatos les gustan  las bolas de estambre",1
"32","el hilo, porque es como un cabello",1
"33","el pelo porque se cae y podria hacer una pelota de pelos",1
"34","el perro o el gato",1
"35","el perro porque los perros estan muy peludos",1
"36","el trapeador, porque tiene pelos",1
"37","esta muy bonita mi pelota",1
"38","estrella brilla",1
"39","es una almohada",1
"40","es una pelota de pelusa porque tiene mucho pelo",1
"41","gato, perro, cabello, por su pelo*",1
"42","gato perro leon",1
"43","gato porque es de pelos",1
"44","gato porque es peludo *",1
"45","gato porque esta cubierto de pelos",1
"46","gato porque son peluditos",1
"47","gato porque son peludos",1
"48","gato porque tiene muchos pelos",1
"49","gato porque tiene pelo*",1
"50","gato porque tiene pelos*",1
"51","gatos porque hay gatos que parecen una bola de pelos",1
"52","gatos sueltan pelos",1
"53","gatos tienen mucho pelo",1
"54","juntando muchos pelos y hacerlos bolas",1
"55","la bola de estambre porque tiene muchos pelos",1
"56","la cabeza esta llena de muchos pelos",1
"57","la cabeza porque tiene cabellos",1
"58","la cabeza porque tiene mucho cabello",1
"59","la mascota",1
"60","la parte de arriba de un arbol",1
"61","la ropa, porque puede que la ropa tenga muchas pelusas que parezcan pelos",1
"62","leon, porque tienen mucho pelo*",1
"63","los gatos",1
"64","los gatos hacen pelotas de pelos cuando se lamben",1
"65","los gatos o perros tienen pelos",1
"66","los gatos porque tienen mucho pelo",1
"67","los pelos que se caen forman pelota de pelos porque a las mujeres se nos cae el pelo",1
"68","mi abuelita, es muy activa",1
"69","mi cabello porque esta hecho de pelos",1
"70","mi cabeza ",1
"71","mi cabeza es una pelota de pelos porque es, asi :)",1
"72","mi cabeza, porque tengo mucho cabello",1
"73","mi cabeza porque tengo mucho pelo",1
"74","mi cabeza tiene mucho pelo",1
"75","mi corazon",1
"76","mi gato",1
"77","mi hermana, siempre se enoja",1
"78","mi hermanita porque se enoja mucho",1
"79","mi hermano porque tiene el pelo largo",1
"80","mi mama o mi hermano",1
"81","mi mama porque tiene mucho pelo",1
"82","mi papa, porque a veces esta peludo",1
"83","mi perrito",1
"84","mi perro",1
"85","mi perro, esta lleno de pelos",1
"86","mi primo porque puede ser tambien su primo",1
"87","mono, porque es peludo*",1
"88","nada",1
"89","no contesto",1
"90","no se me ocurre nada",1
"91","no se porque dije mascota",1
"92","oso de peluche porque tiene mucho pelo",1
"93","oso, es peludo",1
"94","otra puede ser mi perro tiene mucho cabello y esta gordito",1
"95","otro gato.",1
"96","papa, porque cuando se enoja se le paran los pelos",1
"97","papa, porque se peina para arriba",1
"98","pasto porque le sale mucho pasto y parece",1
"99","pasto, porque tiene mucha hierba que parece pelo",1
"100","pelota con hilos",1
"101","pelota suave, algunos pelos son suaves",1
"102","peluche, porque es peludo",1
"103","perro, es un animal peludo",1
"104","perro porque esta cubierto de pelos",1
"105","perro porque esta lleno de pelos",1
"106","perro porque esta muy peludo",1
"107","perro porque los perros tienen pelo en la cabeza",1
"108","perro porque puede ser algo gordito y tiene pelo",1
"109","perro porque puede tirar pelos por todos lados*",1
"110","perro porque se hacen bolita y tienen pelo",1
"111","perro, porque tienen mucho pelo*",1
"112","perro, porque tienen pelos",1
"113","podria ser una esponja",1
"114","podria ser un conjunto de pelos acumulados en forma de pelota*",1
"115","podria ser un perro o un animal porque tienen mucho pelo los perros y una pelota es como decir mi perro es una bola de pelos",1
"116","por ejemplo mi perro es una pelota de pelos",1
"117","porque el perro puede tirar pelotas",1
"118","porque la pelota es de pelos.",1
"119","porque no",1
"120","porque no tiene pelos",1
"121","porque tiene mucho pelo, es una pelusa o perrito en cachorro",1
"122","porque una pelota de pelos la puede tener todos",1
"123","puede ser que haya muchas cosas con pelo o la pelota",1
"124","pulsera puede ser algo de pelos",1
"125","que es muy peludo",1
"126","que esta bonita y es una de sus preferidas",1
"127","que la pelota tiene pelos",1
"128","que se le sueltan los pelos",1
"129","que se puede peinar",1
"130","que tiene muchos pelos",1
"131","saltar, gritar, etc.",1
"132","su cabello, porque esta cubierto de pelos",1
"133","su mascota",1
"134","su mascota porque se esponja",1
"135","su papa porque los hombres tienen pelos en las piernas y el pecho",1
"136","su perro, porque tiene pelos",1
"137","tal vez los arboles (porque algunos son redondos y suaves)",1
"138","tal vez su amigo es muy importante",1
"139","tennis porque es un tipo de pelota que tiene pelitos",1
"140","tia porque tiene mucho cabello",1
"141","tiene muchos pelos",1
"142","trapeador",1
"143","tu cabeza",1
"144","una bola de pelos porque es como una bola de pelos de tu gato o cuando se te cae el cabello y formas una bolita con el",1
"145","una bola de pelusa",1
"146","una bolsa porque hay bolsas que son muy padres o tienen muchos pelitos",1
"147","una cabellera pues porque tiene pelos",1
"148","una cabeza",1
"149","una cabeza porque tiene pelos",1
"150","una cosa tiene pelo",1
"151","una mascota",1
"152","un animal grande redondo pelos",1
"153","un animal porque tiene pelos",1
"154","una pelota de gatos",1
"155","una pelota de pelos porque se parecen",1
"156","una pelota llena de pelos porque la llenaron de pelos",1
"157","una pelota pinpojos",1
"158","una pelota que se le pegaron pelos del piso *",1
"159","una pelota que tiene pelitos porque tiene pelitos por todas partes",1
"160","una pelota y otra pelota porque es la pelota con doble pelota",1
"161","una persona porque suena como una persona",1
"162","una persona y animal. porque seria divertido",1
"163","una rebelion de cabello",1
"164","un cabello con muchos pelos, un jamster, un conejo",1
"165","un coco porque es redondo y tiene pelos",1
"166","un enrredadero de cabello porque se enreda cada vez mas",1
"167","un gato",1
"168","un gato,porque tiene pelo",1
"169","un gato, porque tiene pelos",1
"170","un gato, porque tiene pelos*",1
"171","un gato porque tiene pelos al igual que el perro",1
"172","un kiwi porque los kiwis son un poco redondos y tienen pelito por afuera",1
"173","un leon, porque tiene mucho pelo",1
"174","un lobo porque tiene pelos",1
"175","un maniqui con una peluca",1
"176","un miembro familiar con mucho cabello",1
"177","un pajaro",1
"178","un perro con pelos",1
"179","un perro con pelos porque tiene mucho pelo",1
"180","un perro esta cubierto de pelos",1
"181","un perro o la barba de mi papa",1
"182","un perro porque el perro tiene muchos pelos",1
"183","un perro, porque rima con la otra palabra",1
"184","un perro porque tiene mucho pelo",1
"185","un perro porque tiene muchos pelos",1
"186","un perro, porque tiene pelos",1
"187","un perro porque un perro puede ser gordo y tiene mucho pelo",1
"188","un perro, un peluche, un gato, etc",1
"189","yo creo que puede ser mi cabello porque es mucho",1
"190","yo digo que puede ser el estambre porque se puede hacer como una pelota",1
"191","yo porque alegro el dia a mis amigos",1
"192",NA,1
