"","word","n"
"1","no se",8
"2","que vale mucho",4
"3","una pelota de plata",3
"4","aluminio",2
"5","es de plata",2
"6","la luna es color plata",2
"7","mi abuela",2
"8","pelota de plata",2
"9","por que dicen que la luna es de plata",2
"10","pues que es de plata",2
"11","que es de plata",2
"12","que es muy valiosa",2
"13","que soy muy brillante",2
"14","que tiene dinero",2
"15","se refiere a la luna",2
"16","1g3f",1
"17","algo de plata",1
"18","algo hecho de plata",1
"19","algo muy valioso",1
"20","algo que es de plata o que vale plata para ti",1
"21","algo que sea semejante a una pelota de plata",1
"22","algo que te sirva",1
"23","algo que tu quieres proteger, que puede hacer dano o que puede darte valor.",1
"24","alguien que es fuerte o mercurio color plata.",1
"25","alguien que es muy fuerte",1
"26","aveces se dice la expresion de que la luna esta hecha de plata y ya que es redonda, tendria sentido que llamaramos a la luna una pelota de plata",1
"27","bala de canon",1
"28","bolitas de himan que se unen a la plata",1
"29","bueno puse que el es una pelota de plata porque fue lo mas coherente que se me ocurrio poner",1
"30","bueno yo supongo que habla de algo muy valioso como el mundo, una moneda o una esfera",1
"31","bueno y se una supocision al poner sol y por logica deveria de ser frio.",1
"32","canica por que unas canicas son de plata.",1
"33","ciertas balas son redondas y las balas creadas en los cuentos ficticios son de plata",1
"34","como algo de valor",1
"35","como el autor trata de poner personas u objetos como ""pelotas"" por tanto yo decidi poner que la luna era una pelota de plata",1
"36","como en la primera frase decia pelota de fuego se me figuro a un sol, asi que cuando lei ""pelota de plata"" automaticamente pense en la luna.",1
"37","creo que es una pelota color plata",1
"38","creo que se refiere a la abuela porque ella como esta viejita tiene el cabello de plata, metaforicamente",1
"39","cual quier cosa puede ser",1
"40","cuando la luna llena esta brillando parece una pelota de plata brillante",1
"41","cuando la luna sale parece reflejar como si fuera plata",1
"42","cuando lo lei me parecio a la luna por la primera oracion que dice que el sol es una pelota de fuego",1
"43","cuando se peina",1
"44","da a conocer que que es unm muy fuerte",1
"45","da dinero o es de la suerte",1
"46","de buena suerte",1
"47","de que es una pelota de playa",1
"48","de que las partes de las plantas son su familia",1
"49","de que vale mucho",1
"50","dinero",1
"51","el anillo es redondo",1
"52","el dinero es algo valioso que se cuida y brilla como plata",1
"53","el dinero es importante y valioso",1
"54","el es alguien muy brillante",1
"55","ella es binita que parece que es de plata",1
"56","ella te alumbra",1
"57","ella tiene una mirada de plata",1
"58","el ninja gris se hace bolita y se convierte en una bola plateada",1
"59","el puede ser una referencia de cualquier persona antes de empezar con su familia.",1
"60","en la forma de que alo mejor su papa es el que tiene dinero o trabaja para tenerlo",1
"61","es algo de mucho valor y tambien bello y pense que lo que mejor queda con eso es la esperanza",1
"62","es algo parecido a una pelota de plata",1
"63","es algo redondo pero muy valioso",1
"64","esa persona mencionada es muy valiosa",1
"65","es brillante",1
"66","escogi la luna porque es redonda y brilla como la plata",1
"67","es como si hiciera una referencia a algo valioso o importante",1
"68","es como una medalla o algo similar :v",1
"69","es como ver a algo hermoso",1
"70","es de el color plata",1
"71","es del mismo color que la luna",1
"72","es la luna",1
"73","es la luna, asi se le llama a veces.",1
"74","es la luna por que as?ç la llaman",1
"75","es la luna porque su color es brillante y puede tener una forma de pelota",1
"76","es la que la vale mas",1
"77","es metafora como si dijera yo ''el rostro de mi novia''",1
"78","es muy valiosa",1
"79","es muy valioso",1
"80","es pap?Å, porque es el que controla la casa.",1
"81","es que es lo unco que se me vino a la mente la verdad es algo raro esto pero bueno adios..... :3",1
"82","es que es un circulo gris que brilla en la noche",1
"83","es redonda y parece de plata",1
"84","es redonda y plateada",1
"85","es redonda y tiene color plata",1
"86","es una bola de color plata",1
"87","es una luna, debido a que los colores son parecidos a la plata y es lo contrario al sol, que fue mi respuesta en pelota de fuego.",1
"88","es una metafora del color",1
"89","es una metafora hacia la luna pues es tan bella y parece de plata",1
"90","es una metafora por la forma y el color de la luna",1
"91","es una moneda de plata redonda",1
"92","es una moneda por que es circular y es de plata",1
"93","es una moneda que tiene valor y cuesta mucho",1
"94","es una pelota cubierta de plata",1
"95","es una pelota de plata",1
"96","es una pelota de plata muy bonita",1
"97","es una pelota hecha de joyas o de plata jajaja",1
"98","es una pelota hecha de plata",1
"99","es una pelota que esta hecha de plata",1
"100","es una pepita como una bolita",1
"101","es una persona muy valiosa",1
"102","es una relevancia un tanto romantica al expresar que es la un objeto preciado para mi",1
"103","es un iman",1
"104","es un objeto que puede ser de plata o tiene valor para unas personas",1
"105","es un reconocimiento de tu esfuerzo",1
"106","es un trofeo de futbol el trofeo tiene una pelota de plata",1
"107","es valioso",1
"108","explica que una pelota de plata es algo valioso o importante",1
"109","friends are very valuable in my opinion like silver, but you cannot get it for free and you may apply a scar to it. most importantly before you can love a friend gold menaing loving yourself is the 1st thing you must do",1
"110","hay copas de reyes que son de plata y tienen forma circular.",1
"111","hay esferas de plata",1
"112","hecha de plata",1
"113","invalida x sistema",1
"114","la armadura tiene forma de humano asi que se me hizo algo razonable ponerlo",1
"115","la fortuna.",1
"116","la irradia luz tan blanca como el reflejo en plata",1
"117","la luna",1
"118","la luna es brillante, y cuando es luna llena parece una pelota.",1
"119","la luna es circular y de color plata.",1
"120","la luna es circular y dorada y parece una pelota",1
"121","la luna es color plata o gris",1
"122","la luna es color plata y brilla",1
"123","la luna es contrario del sol y tendria sentido mencionar ambos en el poema, tambien el color de la luna es parecido al de la plata",1
"124","la luna es de color plateada o gris y tiene forma redonda",1
"125","la luna es plateada",1
"126","la luna es redonda al igual que el sol. en la primera frase uno puede entender que habla del sol, entonces cuando va a la siguiente frase, uno puede deducir que habla de la luna, ya que la luna puede decirse que es plateada.",1
"127","la luna es redonda y es color gris,plateado",1
"128","la luna es redonda y es color gris y brilla",1
"129","la luna es redonda y plateada o gris.",1
"130","la luna es una esfera plateada",1
"131","la luna es una pelota de plata (porque brilla)",1
"132","la luna es una pelota de plata porque su color se parece al de la plata",1
"133","la luna es un cuerpo celeste que cuando se ve de cerca pero al mismo tipo de lejos tiene la apariencia de ser de cristal, muy fragil",1
"134","la luna parece plata",1
"135","la luna ( por que brilla)",1
"136","la luna, porque es blanca y refleja la luz del sol (la pelota de fuego)",1
"137","la luna porque es de forma esferica y se parece a la plata",1
"138","la luna porque es plateada y es redonda como una pelota",1
"139","la luna por que es redonda como una pelota y es del mismo color que la plata",1
"140","la luna por que es redonda y color como gris",1
"141","la luna por que es redonda y de color plata",1
"142","la luna porque es redonda y se ve como si fuera una pelota de plata",1
"143","la luna por que suena lirico",1
"144","la luna por que su forma se parece a la de una pelota y su color se parece al color plata.",1
"145","la luna se ve como de plata, o color plata y brilla en la noche",1
"146","la luna tiene color de plata y cuando esta llena tiene forma de pelota",1
"147","la luna tiene forma de pelota y es color plata",1
"148","la luna tiene un color muy singular que hace que a veces la veamos de color plata",1
"149","la mente es muy valiosa y brillante",1
"150","la moneda es circular como una pelota y esta hecha de plata",1
"151","la moneda es de plata",1
"152","la pelota de plata es de plata",1
"153","la plata",1
"154","la plata es valiosa por lo tanto quizas es algo importante",1
"155","la razon por que yo puse amor en esta es por que este es muy valioso pero pocos lo valoran",1
"156","las monedas son circulares y tienen plata.",1
"157","las monedas son redondas y plateadas",1
"158","las plantas son pelotas",1
"159","la vida porque vale mucho",1
"160","lol",1
"161","lo puse como la luna porque la luna es una bola gris (pelota de plata)",1
"162","luna, por que su color es muy brillante como la plata",1
"163","me base en lo que dice del sol, ademas, la luna brilla",1
"164","medalla por que una medalla de plata tiene un forma circular y es de plata",1
"165","me refiero al color, cuando me dicen plata lo primero que se me viene a la mente es el dorado",1
"166","mi abuelita por que es alguien que todos queremos mucho",1
"167","mi alegria es como la plata: reluciente",1
"168","mi collar tiene forma de pelota y esta hecha de plata",1
"169","mi mama",1
"170","mi mama es muy baliosa",1
"171","mi mama, porque la plata es joya, precioso, importante. es mi mama porque es muy importante en mi vida.",1
"172","mi padre bale mucho por eso lo puse",1
"173","mi papa es una pelota de plata porque el es el que genera mas plata (dinero)",1
"174","mi papa por que es de plata",1
"175","mis gata es plateada",1
"176","moneda",1
"177","moneda por que en es como una pelota y es redonda y vale y tienes que esforzaste para eso cuando rebotas una pelota tienes que mober las manos entonces para ganar el dinero lo mismo tienes que mover las manos para lograr eso mm es logico verdad me voy lentamente",1
"178","muchas monedas",1
"179","muy importa delicda especia o etc",1
"180","no",1
"181","no dice mentiras",1
"182","no lo c bro disculpa :v",1
"183","no sabia q con testar",1
"184","nose",1
"185","no seee",1
"186","no se que puede ser",1
"187","no tengo idea",1
"188","nou",1
"189","nowse",1
"190","opjfyunerton",1
"191","pelota brillante",1
"192","pelota de dinero",1
"193","pelota de hierro",1
"194","pelota fina",1
"195","pelota girs",1
"196","pelota hecha de plata o color plata",1
